Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-10-24 21:37:00,33593.9,2023-10-24 21:43:00,33623.9,79.81,78.7,0.59,0.59,-1.12,-1.4,Signal Exit
2023-10-24 21:44:00,33600.5,2023-10-24 21:51:00,33709.0,78.7,77.78,0.59,0.59,-0.92,-1.17,Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-27 17:13:00,33652.0,77.78,76.98,0.58,0.58,-0.8,-1.03,Signal Exit
2023-10-27 17:14:00,33609.8,2023-10-27 17:15:00,33679.1,76.98,75.99,0.57,0.57,-0.99,-1.29,Signal Exit
2023-10-27 17:19:00,33674.6,2023-10-28 05:11:00,34082.3,75.99,75.76,0.57,0.57,-0.23,-0.3,Signal Exit
2023-10-28 05:12:00,34071.7,2023-10-28 10:43:00,34045.1,75.76,74.57,0.56,0.56,-1.19,-1.57,Signal Exit
2023-10-31 16:09:00,34263.2,2023-10-31 16:10:00,34257.0,74.57,73.45,0.56,0.56,-1.12,-1.51,Signal Exit
2023-11-03 08:41:00,34312.7,2023-11-03 08:42:00,34387.8,73.45,72.52,0.55,0.55,-0.94,-1.27,Signal Exit
2023-11-03 08:48:00,34322.5,2023-11-03 08:49:00,34368.1,72.52,71.53,0.54,0.54,-0.98,-1.36,Signal Exit
2023-11-03 10:12:00,34153.0,2023-11-03 10:13:00,34143.0,71.53,70.45,0.53,0.53,-1.09,-1.52,Signal Exit
2023-11-03 10:15:00,34116.1,2023-11-03 10:21:00,34198.2,70.45,69.56,0.52,0.53,-0.88,-1.25,Signal Exit
2023-11-03 10:35:00,34116.1,2023-11-03 10:41:00,34174.3,69.56,68.65,0.52,0.52,-0.92,-1.32,Signal Exit
2023-11-03 11:00:00,34209.3,2023-11-03 11:01:00,34222.8,68.65,67.65,0.51,0.51,-1.0,-1.45,Signal Exit
2023-11-03 11:03:00,34237.6,2023-11-03 12:01:00,34182.3,67.65,66.53,0.5,0.5,-1.11,-1.65,Signal Exit
2023-11-03 12:02:00,34182.7,2023-11-03 12:27:00,34241.3,66.53,65.66,0.5,0.5,-0.88,-1.32,Signal Exit
2023-11-03 12:33:00,34279.0,2023-11-03 12:45:00,34335.2,65.66,64.79,0.49,0.49,-0.87,-1.33,Signal Exit
2023-11-03 12:46:00,34321.3,2023-11-03 12:48:00,34354.5,64.79,63.88,0.48,0.48,-0.9,-1.39,Signal Exit
2023-11-03 13:05:00,34389.8,2023-11-03 13:54:00,34492.1,63.88,63.12,0.48,0.48,-0.76,-1.2,Signal Exit
2023-11-03 14:06:00,34540.5,2023-11-03 14:22:00,34557.5,63.12,62.21,0.47,0.47,-0.91,-1.44,Signal Exit
2023-11-03 14:36:00,34617.3,2023-11-03 14:37:00,34648.6,62.21,61.34,0.46,0.46,-0.87,-1.4,Signal Exit
2023-11-03 16:32:00,34659.3,2023-11-03 18:26:00,34483.0,61.34,60.12,0.46,0.45,-1.22,-1.99,Signal Exit
2023-11-03 18:30:00,34554.4,2023-11-03 18:31:00,34567.7,60.12,59.25,0.45,0.45,-0.87,-1.45,Signal Exit
2023-11-03 18:37:00,34494.9,2023-11-08 20:03:00,35659.7,59.25,60.33,0.44,0.46,1.09,1.84,Signal Exit
2023-11-08 21:25:00,35441.0,2023-11-08 21:26:00,35476.5,60.33,59.5,0.45,0.45,-0.84,-1.39,Signal Exit
2023-11-08 21:27:00,35461.2,2023-11-08 21:39:00,35433.0,59.5,58.56,0.44,0.44,-0.93,-1.57,Signal Exit
2023-11-08 21:40:00,35406.1,2023-11-08 21:45:00,35462.0,58.56,57.78,0.44,0.44,-0.78,-1.33,Signal Exit
2023-11-14 17:17:00,36097.8,2023-11-15 11:28:00,36103.6,57.78,56.93,0.43,0.43,-0.85,-1.47,Signal Exit
2023-11-15 11:31:00,36082.7,2023-11-15 11:32:00,36121.3,56.93,56.14,0.42,0.42,-0.79,-1.38,Signal Exit
2023-11-15 11:42:00,36161.4,2023-11-15 12:27:00,36281.3,56.14,55.49,0.42,0.42,-0.65,-1.16,Signal Exit
2023-11-15 12:30:00,36258.9,2023-11-15 15:37:00,36223.8,55.49,54.61,0.41,0.41,-0.88,-1.58,Signal Exit
2023-11-15 15:44:00,36229.0,2023-11-15 15:49:00,36342.0,54.61,53.97,0.41,0.41,-0.65,-1.18,Signal Exit
