Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-10-23 23:10:00,32857.4,2023-10-24 00:31:00,33383.5,14939.78,14953.0,111.21,112.99,13.22,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-24 15:39:00,33262.7,2023-10-24 15:50:00,33772.5,14953.0,14956.14,111.31,113.02,3.14,0.02,1.53,True,Fee-Aware Signal Exit
2023-10-24 18:06:00,33628.0,2023-10-24 21:58:00,34155.5,14956.14,14964.59,111.34,113.08,8.44,0.06,1.57,True,Fee-Aware Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-28 05:11:00,34082.3,14964.59,15000.09,111.4,113.35,35.51,0.24,1.75,True,Fee-Aware Signal Exit
2023-10-28 05:12:00,34071.7,2023-10-29 17:36:00,34618.1,15000.09,15013.74,111.66,113.45,13.65,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-31 16:09:00,34263.2,2023-11-01 12:56:00,34804.9,15013.74,15024.04,111.76,113.53,10.3,0.07,1.58,True,Fee-Aware Signal Exit
2023-11-03 08:41:00,34312.7,2023-11-08 20:04:00,35679.0,15024.04,15389.7,111.84,116.29,365.65,2.43,3.98,True,Fee-Aware Signal Exit
2023-11-08 20:37:00,35425.0,2023-11-08 23:45:00,36001.0,15389.7,15407.07,114.56,116.43,17.38,0.11,1.63,True,Fee-Aware Signal Exit
2023-11-14 17:17:00,36097.8,2023-11-15 18:11:00,36883.8,15407.07,15508.17,114.69,117.19,101.1,0.66,2.18,True,Fee-Aware Signal Exit
2023-11-16 18:33:00,36232.4,2023-11-18 16:12:00,36805.8,15508.17,15519.05,115.45,117.27,10.88,0.07,1.58,True,Fee-Aware Signal Exit
2023-11-19 08:41:00,36623.3,2023-11-19 23:02:00,37174.1,15519.05,15517.93,115.53,117.26,-1.13,-0.01,1.5,True,Fee-Aware Signal Exit
2023-11-21 23:54:00,35909.4,2023-11-22 06:34:00,36479.9,15517.93,15529.76,115.52,117.35,11.83,0.08,1.59,True,Fee-Aware Signal Exit
2023-11-23 16:57:00,37064.7,2023-11-24 09:42:00,37626.7,15529.76,15530.51,115.61,117.36,0.75,0.0,1.52,True,Fee-Aware Signal Exit
2023-11-26 10:07:00,37715.3,2023-12-05 15:34:00,42232.6,15530.51,17131.74,115.61,129.46,1601.23,10.31,11.98,True,Fee-Aware Signal Exit
2023-12-11 18:10:00,41038.8,2023-12-12 00:47:00,41673.2,17131.74,17137.56,127.53,129.5,5.83,0.03,1.55,True,Fee-Aware Signal Exit
2023-12-12 17:33:00,40813.0,2023-12-12 23:19:00,41482.7,17137.56,17159.44,127.57,129.67,21.87,0.13,1.64,True,Fee-Aware Signal Exit
2023-12-15 11:53:00,42735.5,2023-12-18 01:39:00,40893.1,17159.44,16175.2,127.74,122.23,-984.23,-5.74,-4.31,False,Stop-Loss
2023-12-18 01:40:00,40877.6,2023-12-18 21:45:00,42471.5,16175.2,16555.69,120.41,125.11,380.49,2.35,3.9,True,Fee-Aware Signal Exit
2023-12-18 22:04:00,42442.0,2023-12-19 01:54:00,43163.6,16555.69,16586.5,123.24,125.34,30.8,0.19,1.7,True,Fee-Aware Signal Exit
2023-12-19 14:50:00,42328.6,2023-12-20 06:22:00,42963.8,16586.5,16584.75,123.47,125.33,-1.75,-0.01,1.5,True,Fee-Aware Signal Exit
